mfg,makes,carlines,type,percent_content_USA_CAN,percent_content_other1,percent_content_other2,final_assembly1,final_assembly2,source_E1,source_E2,source_T1,source_T2,year
Porsche AG,Porsche,Boxster S,PC,3%,69% G,"",G,"",G,"",G,"",2014
Porsche AG,Porsche,Cayenne,MPV,3%,66% G,"",G,"",G,"","G (M6), J(A8)","",2014
Porsche AG,Porsche,Cayenne Diesel,MPV,5%,59% G,17%SL,G,"",H,"",J (A8),"",2014
Porsche AG,Porsche,Cayenne GTS,MPV,4%,68% G,"",G,"",G,"",J(A8),"",2014
Porsche AG,Porsche,Cayenne S,MPV,4%,68% G,"",G,"",G,"",J (A8),"",2014
Porsche AG,Porsche,Cayenne S Hybrid,MPV,4%,66% G,"",G,"",G,"",J (A8),"",2014
Porsche AG,Porsche,Cayenne Turbo,MPV,4%,68% G,"",G,"",G,"",J (A8),"",2014
Porsche AG,Porsche,Cayenne Turbo S,MPV,3%,66% G,"",G,"",G,"",J,"",2014
Porsche AG,Porsche,Cayman,PC,4%,68% G,"",G,"",G,"",G,"",2014
Porsche AG,Porsche,Cayman S,PC,4%,69% G,"",G,"",G,"",G,"",2014
Porsche AG,Porsche,Panamera,MPV,3%,70% G,"",G,"",G,"",G,"",2014
Porsche AG,Porsche,Panamera 4,MPV,4%,73% G,"",G,"",G,"",G,"",2014
Porsche AG,Porsche,Panamera 4S,PC,4%,74%G,"",G,"",G,"",G,"",2014
Porsche AG,Porsche,Panamera 4S Executive,PC,4%,74%G,"",G,"",G,"",G,"",2014
Porsche AG,Porsche,Panamera GTS,PC,4%,76%G,"",G,"",G,"",G,"",2014
Porsche AG,Porsche,Panamera S,PC,3%,74%G,"",G,"",G,"",G,"",2014
Porsche AG,Porsche,Panamera S E-Hybrid,PC,4%,62% G,"",G,"",G,"",J,"",2014
Porsche AG,Porsche,Panamera S Executive,PC,3%,74%G,"",G,"",G,"",G,"",2014
Porsche AG,Porsche,Panamera Turbo,MPV,4%,76% G,"",G,"",G,"",G,"",2014
Porsche AG,Porsche,Panamera Turbo Executive,PC,4%,76%G,"",G,"",G,"",G,"",2014
"Rolls-Royce Motor Cars,
Ltd.",Rolls-Royce,Coupe,PC,5%,70%G,10%UK,UK,"",G,"",G,"",2014
"Rolls-Royce Motor Cars,
Ltd.",Rolls-Royce,Drophead Coupe,PC,5%,70%G,10%UK,UK,"",G,"",G,"",2014
"Rolls-Royce Motor Cars,
Ltd.",Rolls-Royce,Ghost,PC,5%,70%G,10%UK,UK,"",G,"",G,"",2014
"Rolls-Royce Motor Cars,
Ltd.",Rolls-Royce,Phantom,PC,5%,70%G,10%UK,UK,"",G,"",G,"",2014
"Rolls-Royce Motor Cars,
Ltd.",Rolls-Royce,Wraith,PC,5%,70%G,10%UK,UK,"",G,"",G,"",2014
Subaru,Subaru,"BRZ, Impreza",PC,0%,90%J,"",J,"",J,"",J,"",2014
Subaru,Subaru,Impreza WRX/STI,PC,0%,95%J,"",J,"",J,"",J,"",2014
Subaru,Subaru,Legacy,PC,45%,45%J,"",US,"",J,"",J,"",2014
Subaru,Subaru,Outback,MPV,45%,45%J,"",US,"",J,"",J,"",2014
Subaru,Subaru,Tribeca,MPV,40%,50%J,"",US,"",J,"",J,"",2014
Subaru,Subaru,"XV Crosstrek, Forester",MPV,0%,90%J,"",J,"",J,"",J,"",2014
Suzuki Motor of America,Suzuki,Grand Vitara,MPV,0%,88% J,"",J,"",J,"",J,"",2014
Suzuki Motor of America,Suzuki,Kizashi,PC,2%,83% J,"",J,"",J,"",J,"",2014
Suzuki Motor of America,Suzuki,"SX4 Sedan, Hatchback",PC,0%,82% J,"",J,"",J,"",J,"",2014
Tesla Motors Inc.,Tesla,Model S,PC,50%,"","",US,"",US,"",US,"",2014
Toyota,Lexus,CT200h,PC,0%,100%J,"",J,"",J,"",J,"",2014
Toyota,Lexus,ES Hybrid,PC,0%,100%J,"",J,"",J,"",J,"",2014
Toyota,Lexus,ES350,PC,5%,95%J,"",J,"",J,"",J,"",2014
Toyota,Lexus,GS350 / GS450h,PC,0%,100%J,"",J,"",J,"",J,"",2014
Toyota,Lexus,GX460,MPV,0%,100%J,"",J,"",J,"",J,"",2014
Toyota,Lexus,IS 250/350,PC,0%,100%J,"",J,"",J,"",J,"",2014
Toyota,Lexus,IS C,PC,0%,100%J,"",J,"",J,"",J,"",2014
Toyota,Lexus,IS F,PC,0%,100%J,"",J,"",J,"",J,"",2014
Toyota,Lexus,LS460 / LS600h,PC,0%,100%J,"",J,"",J,"",J,"",2014
Toyota,Lexus,LX570,MPV,0%,100%J,"",J,"",J,"",J,"",2014
Toyota,Lexus,RX350,MPV,60%,35%J,"",J,CN,J,US,J,"",2014
Toyota,Lexus,RX450h,MPV,5%,95%J,"",J,"",J,"",J,"",2014
Toyota,Scion,FR-S,PC,0%,95%J,"",J,"",J,"",J,"",2014
Toyota,Scion,iQ,PC,0%,100%J,"",J,"",J,"",J,"",2014
Toyota,Scion,tC,PC,0%,100%J,"",J,"",J,"",J,"",2014
Toyota,Scion,xB,MPV,0%,100%J,"",J,"",J,CH,J,"",2014
Toyota,Scion,xD,PC,0%,100%J,"",J,"",J,"",J,"",2014
Toyota,Toyota,4 Runner,MPV,10%,90%J,"",J,"",J,"",J,"",2014
Toyota,Toyota,Avalon,PC,75%,20%J,"",US,"",US,"",J,"",2014
Toyota,Toyota,Avalon HV,PC,50%,45%J,"",US,"",J,"",J,"",2014
Toyota,Toyota,Camry,PC,75%,20%J,"",US,"",US,J,US,J,2014
Toyota,Toyota,Camry Hybrid,PC,35%,60%J,"",US,"",J,"",J,"",2014
Toyota,Toyota,Corolla,PC,60%,30%J,"",CN,US,US,"",J,"",2014
Toyota,Toyota,EV Rav4,MPV,40%,55%J,"",CN,"",US,"",US,"",2014
Toyota,Toyota,FJ Cruiser,MPV,0%,100%J,"",J,"",J,"",J,US,2014
Toyota,Toyota,Highlander,MPV,60%,30%J,"",US,"",US,J,J,"",2014
Toyota,Toyota,Highlander Hybrid,MPV,30%,65%J,"",US,"",J,"",J,"",2014
Toyota,Toyota,Land Cruiser,MPV,5%,95%J,"",J,"",J,"",US,"",2014
Toyota,Toyota,Prius / Prius Plug-in Hybrid,PC,0%,100%J,"",J,"",J,"",J,"",2014
Toyota,Toyota,Prius c,PC,0%,100% J,"",J,"",J,"",J,"",2014
Toyota,Toyota,Prius V,PC,5%,95%J,"",J,"",J,"",J,"",2014
Toyota,Toyota,Rav4,PC,50%,40%J,"",J,CN,US,J,US,J,2014
Toyota,Toyota,Sequoia,MPV,65%,30%J,"",US,"",US,"",US,"",2014
Toyota,Toyota,Sienna,MPV,75%,20%J,"",US,"",US,"",J,"",2014
Toyota,Toyota,Tacoma,Truck,60%,30%J,"",US,M,J,"",J,US,2014
Toyota,Toyota,Tundra,Truck,75%,20%J,"",US,"",US,J,US,"",2014
Toyota,Toyota,Venza,MPV,65%,25%J,"",US,"",US,"",J,"",2014
Toyota,Toyota,Yaris,PC,0%,60%J,"",J,F,J,"",J,"",2014
Volkswagen,Volkswagen,Beetle,PC,12%,40%M,15%G,M,"",M(1.8L),"",J(A6),AR(M5),2014
Volkswagen,Volkswagen,Beetle,PC,12%,40%M,"",M,"",M(2.0L),"",J(A6),G(M6),2014
Volkswagen,Volkswagen,Beetle,PC,6%,40%G,30%M,M,"","G(2.0L
TDI)","",G,"",2014
Volkswagen,Volkswagen,Beetle,PC,15%,40%M,"",M,"",M(2.5L),"",J(A6),AR(M5),2014
Volkswagen,Volkswagen,Beetle Convertible,PC,12%,40%M,15%G,M,"",M(1.8L),"",J(A6),"",2014
Volkswagen,Volkswagen,Beetle Convertible,PC,15%,40%M,"",M,"",M(2.0L),"",J(A6),G(M6),2014
Volkswagen,Volkswagen,Beetle Convertible,PC,10%,37%G,27%M,M,"","G(2.0L
TDI)","",G,"",2014
Volkswagen,Volkswagen,Beetle Convertible,PC,16%,37%M,"",M,"",M(2.5L),"",J,"",2014
Volkswagen,Volkswagen,CC,PC,1%,65%G,"",G,"",H(2.0T),"",G (A6),"",2014
Volkswagen,Volkswagen,CC,PC,1%,62%G,"",G,"",H(2.0T),"",G (M6),"",2014
Volkswagen,Volkswagen,CC,PC,1%,62%G,"",G,"",G(3.6L),"",J(A6),"",2014
Volkswagen,Volkswagen,Eos,PC,1%,40%PO,36%G,PO,"",H,"",G,"",2014
Volkswagen,Volkswagen,GLI (Jetta),PC,12%,35%M,18%G,M,"",M,"",J(A6),G(M6),2014
Volkswagen,Volkswagen,Golf,PC,1%,60%G,"",G,"",H(2.0L),"","G(A6, M6)","",2014
Volkswagen,Volkswagen,Golf,PC,1%,63%G,"",G,"","G(2.0L
TDI)","","G(A6, M5)","",2014
Volkswagen,Volkswagen,Golf,PC,1%,50%G,"",G,"",M(2.5L),"",J(A6),AR(M5),2014
Volkswagen,Volkswagen,Jetta,PC,11%,40%M,"",M,"",M(1.8L),"",J(A6),AR(M5),2014
Volkswagen,Volkswagen,Jetta,PC,11%,40%M,"",M,"",M(2.0L),"",J(A6),SP(M5),2014
Volkswagen,Volkswagen,Jetta,PC,6%,41%M,26%G,M,"","M(2.0L
TDI)","",G,"",2014
Volkswagen,Volkswagen,Jetta,PC,12%,37%M,"",M,"",M(2.5L),"",J(A6),AR(M5),2014
Volkswagen,Volkswagen,Jetta Hybrid,PC,16%,45%G,19%M,M,"",G,"",G,"",2014
Volkswagen,Volkswagen,Jetta SportWagen,PC,5%,45%G,25%M,M,"","G(2.0L
TDI)","",G,"",2014
Volkswagen,Volkswagen,Jetta SportWagen,PC,11%,40%M,"",M,"",M(2.5L),"",J(A6),AR(M6),2014
Volkswagen,Volkswagen,Passat,PC,40%,21%M,"",US,"","M(1.8L,
2.5L)","",J(A6),"AR(M5,M6)",2014
Volkswagen,Volkswagen,Passat,PC,45%,36%G,"",US,"","G(2.0L
TDI)","",G,"",2014
Volkswagen,Volkswagen,Passat,PC,40%,41%G,"",US,"",G(3.6L),"",G,"",2014
Volkswagen,Volkswagen,Routan,MPV,75%,"","",CN,"",US,"",US,"",2014
Volkswagen,Volkswagen,Tiguan,MPV,1%,61%G,"",G,"","H(2.0T
Model
5N21V1)","",J(A6),"",2014
Volkswagen,Volkswagen,Tiguan,MPV,1%,62%G,"",G,"","H(2.0T
Model
5N21V3)","",J(A6),"",2014
Volkswagen,Volkswagen,Tiguan,MPV,1%,71%G,"",G,"",H,"",G(Manual),"",2014
Volkswagen,Volkswagen,Touareg,MPV,1%,32%G,22%SL,SL,"","H(3.0L
TDI)","",J,"",2014
Volkswagen,Volkswagen,Touareg,MPV,1%,36%G,25%SL,SL,"",G(3.6L),"",J,"",2014
Volkswagen,Volkswagen,Touareg Hybrid,MPV,1%,30%G,27%SL,SL,"",H,"",J,"",2014
Volvo Car Corp.,Volvo,S60 T5,PC,1%,25%BE,20%DE,SW,BE,SW,"",J,"",2014
Volvo Car Corp.,Volvo,S60 T6,PC,1%,25%BE,20%DE,SW,BE,UK,"",J,"",2014
Volvo Car Corp.,Volvo,S80 AWD,PC,1%,30%SW,20%DE,SW,"",UK,"",J,"",2014
Volvo Car Corp.,Volvo,S80 FWD,PC,1%,25%SW,20%DE,SW,"",UK,"",J,"",2014
Volvo Car Corp.,Volvo,XC60 FWD/AWD (inc. T6),PC,1%,25%BE,20%DE,BE,"",UK,"",J,"",2014
Volvo Car Corp.,Volvo,XC70 AWD,PC,1%,30%SW,20%DE,SW,"",UK,"",J,"",2014
Volvo Car Corp.,Volvo,XC70 FWD,PC,1%,25%SW,20%DE,SW,"",UK,"",J,"",2014
Volvo Car Corp.,Volvo,XC90 AWD,PC,1%,30%SW,20%DE,SW,"",UK,"",J,"",2014
Volvo Car Corp.,Volvo,XC90 FWD,PC,1%,25%SW,20%DE,SW,"",UK,"",J,"",2014
Audi,Audi,A3,PC,1%,65%G,35%H,H,"",H (1.8T),"",G,"",2015
Audi,Audi,A3,PC,1%,62%G,35%H,H,"",H (2.0T),"",G,"",2015
Audi,Audi,A3,PC,2%,55%G,40%H,H,"",H (TDI),"",G,"",2015
Audi,Audi,A3 Cabriolet,PC,0%,60%G,35%H,H,"",H,"",G,"",2015
Audi,Audi,A4,PC,1%,65%G,16%H,G,"",H,"",G (Auto),"",2015
Audi,Audi,A4,PC,1%,65%G,15%H,G,"",H,"",G (Manual),"",2015
Audi,Audi,A5,PC,1%,67%G,15%H,G,"",H,"",G,"",2015
Audi,Audi,A5 Cabriolet,PC,1%,71%G,15%H,G,"",H,"",G,"",2015
Audi,Audi,A6,PC,1%,60%G,20%H,G,"",H (3.0T),"",G,"",2015
Audi,Audi,A6,PC,0%,60%G,20%H,G,"",H (TDI),"",G,"",2015
Audi,Audi,A6,PC,1%,60%G,15%H,G,"",H (2.0T),"",G,"",2015
Audi,Audi,A7,PC,1%,61%G,20%H,G,"",H,"",G,"",2015
Audi,Audi,A7,PC,1%,60%G,20%H,G,"",H (TDI),"",G,"",2015
Audi,Audi,"A8, A8L",PC,1%,65%G,15%H,G,"",H (3.0T),"",G,"",2015
Audi,Audi,"A8, A8L, S8",PC,1%,60%G,20%H,G,"","H (4.0T,
TDI)","",G,"",2015
Audi,Audi,A8L W12,PC,1%,85%G,"",G,"",G,"",G,"",2015
Audi,Audi,allroad,MPV,1%,57%G,27%H,G,"",H,"",G,"",2015
Audi,Audi,Q3 (quattro),MPV,1%,35%SP,27%G,SP,"",H,"",J,"",2015
Audi,Audi,Q3 (RWD),MPV,1%,31%SP,27%G,SP,"",H,"",J,"",2015
Audi,Audi,Q5,MPV,1%,65%G,16%H,G,"",H(2.0T),"",G,"",2015
Audi,Audi,Q5,MPV,1%,60%G,21%H,G,"",H(3.0T),"",G,"",2015
Audi,Audi,Q5,MPV,1%,60%G,15%H,G,"",H(Hybrid),"",G,"",2015
Audi,Audi,Q5,MPV,0%,55%G,30%H,G,"",H(TDI),"",G,"",2015
Audi,Audi,Q7,MPV,0%,35%SL,30%G,SL,"",H(TDI),"",J,"",2015
Audi,Audi,Q7,MPV,0%,35%SL,26%G,SL,"",H(3.0T),"",J,"",2015
Audi,Audi,Q7 S-line,MPV,0%,37%SL,25%G,SL,"",H(3.0T),"",J,"",2015
Audi,Audi,R8 Coupe,PC,1%,55%G,25%H,G,"",H(V8),"",G(Auto),"",2015
Audi,Audi,R8 Coupe,PC,1%,42%G,26%H,G,"",H(V8),"",I(Manual),"",2015
Audi,Audi,R8 Coupe,PC,1%,55%G,26%H,G,"",H(V10),"",G(Auto),"",2015
Audi,Audi,R8 Coupe,PC,1%,45%G,27%H,G,"",H(V10),"",I(Manual),"",2015
Audi,Audi,R8 Coupe,PC,1%,57%G,25%H,G,"","H(V10
plus)","",G(Auto),"",2015
Audi,Audi,R8 Coupe,PC,1%,50%G,25%H,G,"","H(V10
plus)","",I(Manual),"",2015
Audi,Audi,R8 Spyder,PC,1%,60%G,20%H,G,"",H(V8),"",G(Auto),"",2015
Audi,Audi,R8 Spyder,PC,1%,50%G,21%H,G,"",H(V8),"",I(Manual),"",2015
Audi,Audi,R8 Spyder,PC,1%,60%G,22%H,G,"",H(V10),"",G(Auto),"",2015
Audi,Audi,R8 Spyder,PC,1%,50%G,25%H,G,"",H(V10),"",I(Manual),"",2015
Audi,Audi,RS5,PC,1%,57%G,27%H,G,"",H,"",G,"",2015
Audi,Audi,RS5 Cabriolet,PC,1%,70%G,17%H,G,"",H,"",G,"",2015
Audi,Audi,RS7,PC,1%,61%G,22%H,G,"",H,"",G,"",2015
Audi,Audi,S3,PC,0%,56%G,37%H,H,"",H,"",G,"",2015
Audi,Audi,S4,PC,1%,61%G,22%H,G,"",H,"",G (Auto),"",2015
Audi,Audi,S4,PC,1%,60%G,22%H,G,"",H,"",G (Manual),"",2015
Audi,Audi,S5,PC,1%,62%G,21%H,G,"",H,"",G (Auto),"",2015
Audi,Audi,S5,PC,1%,61%G,22%H,G,"",H,"",G (Manual),"",2015
Audi,Audi,S5 Cabriolet,PC,1%,66%G,20%H,G,"",H,"",G,"",2015
Audi,Audi,S6,PC,1%,55%G,25%H,G,"",H,"",G,"",2015
Audi,Audi,S7,PC,1%,56%G,25%H,G,"",H,"",G,"",2015
Audi,Audi,SQ5,MPV,1%,61%G,20%H,G,"",H,"",G,"",2015
Audi,Audi,TT Coupe,PC,1%,70%G,17%H,H,"",H,"",G,"",2015
Audi,Audi,TT/TTS Roadster,PC,1%,70%G,"",H,"",H,"",G,"",2015
Audi,Audi,TTS Coupe,PC,1%,70%G,20%H,H,"",H,"",G,"",2015
BMW AG,BMW,2 Series Coupe/Convertible,PC,5%,60%G,"",G,"",G,"",G,"",2015
BMW AG,BMW,3 Series Gran Turismo,PC,5%,60%G,"",G,"",G,"",G,"",2015
BMW AG,BMW,3 Series Sedan,PC,5%,65%G,"",G,AF,G,"",G,"",2015
BMW AG,BMW,3 Series Sports Wagon,PC,5%,65%G,"",G,"",G,"",G,"",2015
BMW AG,BMW,4 Series Coupe/Connvertible,PC,5%,65%G,"",G,"",G,"",G,"",2015
BMW AG,BMW,4 Series Gran Coupe,PC,5%,60%G,"",G,"",G,"",G,"",2015
BMW AG,BMW,5 Series Gran Turismo,PC,5%,70%G,"",G,"",G,"",G,"",2015
BMW AG,BMW,5 Series Sedan,PC,5%,70%G,"",G,"",G,"",G,"",2015
BMW AG,BMW,6 Series Coupe/Convertible,PC,5%,70%G,"",G,"",G,"",G,"",2015
BMW AG,BMW,6 Series Gran Coupe,PC,5%,70%G,"",G,"",G,"",G,"",2015
BMW AG,BMW,7 Series Sedan,PC,5%,75%G,"",G,"",G,"",G,"",2015
BMW AG,BMW,i3,PC,5%,70%G,"",G,"",G,"",G,"",2015
BMW AG,BMW,i8,PC,5%,60%G,"",G,"",G,"",J,"",2015
BMW AG,BMW,X1,MPV,5%,70%G,"",G,"",G,"",G,"",2015
BMW AG,BMW,X3,MPV,15%,70%G,"",US,"",G(2.8),"A(2.8d,
3.5)",G,"",2015
BMW AG,BMW,X4,MPV,15%,70%G,"",US,"",G(2.8),A(3.5),G,"",2015
BMW AG,BMW,X5,MPV,15%,65%G,"",US,"","G(5.0,
4.0e),",A(3.5),G,"",2015
BMW AG,BMW,X6,MPV,20%,65%G,"",US,"",G(5.0),A(3.5),G,"",2015
BMW AG,BMW,Z4,PC,5%,75%G,"",G,"",G,"",G,"",2015
BMW AG,MINI,Cooper Convertible,PC,5%,25%G,20%UK,UK,"","F, G(S)","",J(Auto),G(Manual),2015
BMW AG,MINI,Cooper Countryman,PC,5%,40%G,20%A,A,"",G,"",J(Auto),G(Manual),2015
BMW AG,MINI,Cooper Coupe,PC,5%,20%G,20%A,A,"","F, G(S)","",J(Auto),G(Manual),2015
BMW AG,MINI,Cooper Hardtop 2 Door,PC,5%,35%G,25%UK,UK,"",G,"",J(Auto),G(Manual),2015
BMW AG,MINI,Cooper Hardtop 4 Door,PC,5%,35%G,25%UK,UK,"",G,"",J(Auto),G(Manual),2015
BMW AG,MINI,Cooper Paceman,PC,5%,40%G,20%A,A,"",G,"",J(Auto),G(Manual),2015
BMW AG,MINI,Cooper Roadster,PC,5%,20%G,20%A,A,"","F, G(S)","",J(Auto),G(Manual),2015
Fiat Chrysler Automobiles,Chrysler,200,PC,67%,16%M,"",US,"",US,"",US,"",2015
Fiat Chrysler Automobiles,Chrysler,300,PC,61%,21%M,"",CN,"","US(2.98L,
3.2L,
3.6L)","M(3.6L,
5.7L,
6.4L)",US,"",2015
Fiat Chrysler Automobiles,Chrysler,Town & Country,MPV,74%,"","",CN,"","US, M
(3.6L)","I (2.8L
Diesel)",US,"",2015
Fiat Chrysler Automobiles,Dodge,Challenger,PC,61%,27%M,"",CN,"","US(3.6L,
6.2L)","M(3.6L,
5.7L,
6.4L)","US(Auto),
G(Auto)",M (Manual),2015
Fiat Chrysler Automobiles,Dodge,Charger,PC,67%,20%M,"",CN,"","US(3.6L,
6.2L)","M(3.6L,
5.7L,
6.4L)",US,G,2015
Fiat Chrysler Automobiles,Dodge,Dart,PC,60%,18%M,"",US,"",US,"",I (Auto DDCT),K (Auto 6),2015
Fiat Chrysler Automobiles,Dodge,Durango,MPV,67%,16%M,"",US,"",US (3.6L),"M (3.6L,
5.7L)",US,"",2015
Fiat Chrysler Automobiles,Dodge,Grand Caravan,MPV,75%,"","",CN,"","US, M
(3.6L)","I (2.8L
Diesel)",US,"",2015
Fiat Chrysler Automobiles,Dodge,Journey,MPV,30%,59%M,"",M,"","US (2.4L,
3.6L)","M(3.6L),
I(2.0L
Diesel)",US(Auto),I (Manual),2015
Fiat Chrysler Automobiles,Dodge,Viper,PC,71%,"","",US,"",US,"",M,"",2015
Fiat Chrysler Automobiles,Fiat,500,PC,19%,42%M,"",M,"","US, BR,
G","","I(Manual-5),
J(Auto)",G(Electric),2015
Fiat Chrysler Automobiles,Jeep,Cherokee,MPV,71%,"","",US,"","US (2.4L,
3.2L)","I (2.0L &
2.2L
Diesel)",US,"",2015
Fiat Chrysler Automobiles,Jeep,Compass,MPV,65%,"","",US,"",US,"",US(Manual),"M (CVT), J (CVT),
K (Auto-6)",2015
Fiat Chrysler Automobiles,Jeep,Grand Cherokee,MPV,62%,20%M,"",US,"","US (2.98L, 3.2L, 3.6L)","M (3.6L, 5.7L, 6.4L), I (3.0L Diesel)",US,G,2015
Fiat Chrysler Automobiles,Jeep,Patriot,MPV,65%,"","",US,"",US,"",US(Manual),"M (CVT), J (CVT),
K (Auto-6)",2015
Fiat Chrysler Automobiles,Jeep,"Wrangler 2 Door/ Wrangler 4
Door",MPV,70%,"","",US,"","US
(2.98L,
3.2L,
3.6L)","I (2.8L
Diesel)",US (Auto),G (Manual),2015
Fiat Chrysler Automobiles,Ram,1500 Pickup,Truck,61%,23%M,"",US,M,"US
(3.6L), M
(3.6L,
5.7L)","I (3.0L
Diesel)",US,G,2015
Ford Motor Co.,Ford,CMAX,PC,40%,25%J,15%M,US,"",US,"",US,"",2015
Ford Motor Co.,Ford,Edge,MPV,65%,15%M,"",CN,"",M(2.0L),"US(2.7L,
3.5L)",US,"",2015
Ford Motor Co.,Ford,Escape,MPV,55%,15%M,"",US,"",US(2.5L),"G(2.0L),
UK(2.3L)",US,"",2015
Ford Motor Co.,Ford,Expedition,MPV,65%,"","",US,"",US,"",US,"",2015
Ford Motor Co.,Ford,Explorer,MPV,65%,"","",US,"","US(3.7L/3
.5L)",G(2.0L),US,"",2015
Ford Motor Co.,Ford,Fiesta,PC,15%,60%M,"",M,"",G(1.0L),"BR(1.6L)
,UK(1.6L
T/C)",M(Auto),BR/F/UK (Manual),2015
Ford Motor Co.,Ford,Flex,MPV,65%,15%M,"",CN,"",US,"",US,"",2015
Ford Motor Co.,Ford,Focus,PC,40%,25%M,"",US,"","US(BEV),
US(2.0L)","G(2.0T,
1.0L)","M(6-Auto),
US(elec)","G(Manual-6,
Manual 5),
UK(Manual 6)",2015
Ford Motor Co.,Ford,Fusion,PC,25%,50%M,"",US,M,"PL(1.5L)
US(2.5L/2 ,G(2.0L),
.0L) UK(1.6L)","","US(Auto,ECVT)",UK(Manual),2015
Ford Motor Co.,Ford,Mustang,PC,60%,15%M,"",US,"","US(3.7L,
5.0L)","SP(2.3L)
,G(5.2L)",US(auto),"M(Manual),
H(Manual)",2015
Ford Motor Co.,Ford,Taurus,PC,65%,"","",US,"","US(3.7L/3
.5L)",G(2.0L),US,"",2015
Ford Motor Co.,Ford,Transit Connect,Truck,10%,40%SP,"",SP,"",US(2.5L),UK(1.6L),F,"",2015
Ford Motor Co.,Ford,F150,Truck,70%,"","",US,"","US (3.5L,
2.7L)",CN(5.0L),US,"",2015
Ford Motor Co.,Lincoln,MKC,MPV,65%,"","",US,"",SP(2.3L),G(2.0L),US,"",2015
Ford Motor Co.,Lincoln,MKS,PC,60%,"","",US,"",US,"",US,"",2015
Ford Motor Co.,Lincoln,MKT,MPV,55%,"","",CN,"",G(2.0L),"US(3.7L,
3.5L)",US,"",2015
Ford Motor Co.,Lincoln,MKX,MPV,60%,"","",CN,"",US,"",US,"",2015
Ford Motor Co.,Lincoln,MKZ,PC,25%,50%M,"",M,"","US(3.7L/2
.0L)",G(2.0L),US,"",2015
Ford Motor Co.,Lincoln,Navigator,MPV,60%,"","",US,"",US,"",US,"",2015
General Motors LLC,Buick,Lacrosse,PC,62%,16%M,"",US,"",US,M,US,"",2015
General Motors LLC,Buick,Enclave,MPV,75%,"","",US,"",US,"",US,"",2015
General Motors LLC,Buick,Encore,MPV,3%,67%K,19%CH,K,"",K,"",K,"",2015
General Motors LLC,Buick,Regal,PC,62%,16%M,"",CN,"",US,"",US,"G, M",2015
General Motors LLC,Buick,Verano,PC,60%,"","",US,"",US,"",US,"M, G",2015
General Motors LLC,Cadillac,ATS,PC,65%,"","",US,"",US,CN,US,"F, M",2015
General Motors LLC,Cadillac,CTS (Coupe),PC,75%,"","",US,"",US,"",US,M,2015
General Motors LLC,Cadillac,CTS (Sedan),PC,65%,"","",US,"",US,CN,US,"F, J",2015
General Motors LLC,Cadillac,ELR,PC,45%,16%M,16%K,US,"",US,"",J,"",2015
General Motors LLC,Cadillac,Escalade,Truck,60%,28%M,"",US,"",US,"",US,"",2015
General Motors LLC,Cadillac,SRX,MPV,25%,66%M,"",M,"",M,"",US,"",2015
General Motors LLC,Cadillac,XTS,PC,62%,16%M,"",CN,"",US,M,US,"",2015
General Motors LLC,Chevrolet,Camaro,PC,65%,"","",CN,"",US,M,"US, M",J,2015
General Motors LLC,Chevrolet,Caprice,PC,7%,64%AU,"",AU,"",M,"",F,M,2015
General Motors LLC,Chevrolet,Captiva,MPV,65%,"","",M,"",US,"",M,"",2015
General Motors LLC,Chevrolet,City Express,Truck,11%,58%M,15%J,M,"",M,"",M,"",2015
General Motors LLC,Chevrolet,Colorado,Truck,66%,17%M,"",US,"",US,"",US,BR,2015
General Motors LLC,Chevrolet,Corvette,PC,75%,"","",US,"",US,"",US,M,2015
General Motors LLC,Chevrolet,Cruze,PC,60%,"","",US,"","US, K","M, G","US, A","J, M",2015
General Motors LLC,Chevrolet,Equinox,MPV,65%,"","",CN,US,US,CN,US,"CN, M",2015
General Motors LLC,Chevrolet,Impala,PC,62%,16%M,"",CN,US,"M, US",AU,US,M,2015
General Motors LLC,Chevrolet,Impala Fleet,PC,70%,18%M,"",CN,"",CN,"",US,"",2015
General Motors LLC,Chevrolet,Malibu,PC,62%,16%M,"",US,"",US,"",US,"",2015
General Motors LLC,Chevrolet,Silverado,Truck,45%,52%M,"",US,M,US,"",US,"",2015
General Motors LLC,Chevrolet,Sonic,PC,50%,16%M,"",US,"",US,"H, M",US,"A, M",2015
General Motors LLC,Chevrolet,Spark,PC,7%,75%K,"",K,"",K,"",J,K,2015
General Motors LLC,Chevrolet,Spark EV,PC,7%,75%K,"",K,"",US,"",US,"",2015
General Motors LLC,Chevrolet,SS,PC,7%,64%AU,"",AU,"",M,"",M,"",2015
General Motors LLC,Chevrolet,Tahoe / Suburban,Truck,60%,28%M,"",US,"",US,"",US,"",2015
General Motors LLC,Chevrolet,Traverse,MPV,75%,"","",US,"",US,"",US,"",2015
General Motors LLC,Chevrolet,Trax,MPV,4%,75%K,"",K,"",K,"",K,"",2015
General Motors LLC,Chevrolet,Trax,MPV,16%,55%M,"",M,"",US,"",M,"",2015
General Motors LLC,Chevrolet,Volt,PC,45%,16%M,16%K,US,"",US,"",J,"",2015
General Motors LLC,GMC,Acadia,MPV,75%,"","",US,"",US,"",US,"",2015
General Motors LLC,GMC,Canyon,Truck,66%,17%M,"",US,"",US,"",US,BR,2015
General Motors LLC,GMC,Sierra,Truck,45%,52%M,"",US,M,US,"",US,"",2015
General Motors LLC,GMC,Terrain,MPV,65%,"","",CN,"",US,CN,US,"CN, M",2015
